Société civile - ETIC  - Haozhe SUN - Groupe intersexe;;;;;;;;
URL;date;type d'URL;type d'acteurs;thème;position;poids;lu en détail;
http://www.huffingtonpost.fr/2017/01/24/fiere-intersexe-hanne-gaby-odiele/;05.05.2017;post blog;communauté concernée;révélation;lutter contre l’assignation obligatoire;grand;oui;
http://interactadvocates.org/;05.05.2017;communauté internet;association;militant;soutien aux gens concernés;grand;oui;
http://www.rue89lyon.fr/2014/01/03/une-personne-intersexe-cest-quoi-natasha-raconte/;07.05.2017;témoignage;communauté concernée;militant;lutter contre l’assignation obligatoire;moyen;oui;
http://www.txy.fr/;07.05.2017;communauté internet;communauté concernée;solidarité;rien;moyen;oui;
http://www.hes-france.org/;07.05.2017;communauté internet;association;solidarité;soutien aux gens concernés;grand;oui;
http://www.heteroclite.org/2016/02/le-grettis-pas-si-great-28582;07.05.2017;communauté internet;association;vulgarisation;rien;moyen;oui;
http://fr.chatelaine.com/societe/intersexualite-un-phenomene-meconnu-mais-repandu/;04.05.2017;post blog;experts;vulgarisation;rien;moyen;moyen;
http://www.huffingtonpost.fr/2017/05/03/ce-que-cela-signifie-detre-une-personne-intersexe_a_22065079/;07.05.2017;témoignage;journaliste;vulgarisation;rien;grand;oui;
http://www.ohchr.org/Documents/HRBodies/HRCouncil/RegularSession/Session22/A.HRC.22.53_English.pdf?utm_source=AIC+mailing+list&utm_campaign=0940e5a7fc-&utm_medium=email;05.05.2017;rapport officiel;ONU (United Nations);révélation;lutter contre l’assignation obligatoire;moyen;moyen;
http://www.huffingtonpost.fr/2017/03/08/senateurs-souffrances-personnes-intersexes/;05.05.2017;actualités;sénateurs;révélation;soutien aux gens concernés;moyen;moyen;
https://www.senat.fr/notice-rapport/2016/r16-441-notice.html;05.05.2017;rapport officiel;sénateurs;révélation;lutter contre l’assignation obligatoire;moyen;oui;
http://www.lemonde.fr/societe/article/2017/03/22/le-troisieme-sexe-devant-la-cour-de-cassation_5098649_3224.html#0AldHWK9DdcUXak0.99;07.05.2017;témoignage;communauté concernée;militant;reconnaissance du sexe neutre;grand;oui;
http://www.liberation.fr/france/2017/05/04/la-cour-de-cassation-refuse-la-mention-sexe-neutre-pour-un-intersexe_1567241;07.05.2017;actualités;Cour de Cassation;militant;refus de la reconnaissance du sexe neutre;grand;moyen;
http://www.liberation.fr/france/2017/03/20/etre-reconnu-comme-sexe-neutre-je-le-fais-pour-moi-et-pour-les-autres_1557098;07.05.2017;témoignage;communauté concernée;militant;reconnaissance du sexe neutre;grand;oui;
https://tetu.com/2017/05/05/personnes-intersexes-cour-de-cassation-refuse-debrecher-dualite-sexes/;07.05.2017;actualités;internet;militant;reconnaissance du sexe neutre;moyen;oui;
http://www.europe1.fr/societe/la-cour-de-cassation-refuse-la-mention-sexe-neutre-pour-letat-civil-dun-intersexe-3319796;07.05.2017;actualités;internet;militant;reconnaissance du sexe neutre;moyen;oui;
http://next.liberation.fr/sexe/2017/03/18/chaque-fois-que-je-me-vois-nu-je-m-administre-la-preuve-que-je-suis-un-intersexe_1556517;05.05.2017;post blog;communauté concernée;vulgarisation;soutien aux gens concernés;moyen;moyen;
http://www.cestcommeca.net/definition-intersexuee-intersexe.php;04.05.2017;post blog;internet;vulgarisation;rien;moyen;oui;
http://lecourrier.vn/operation-chirurgicale-reussie-sur-une-personne-intersexe/395570.html;05.05.2017;actualités;journaliste;vulgarisation;rien;moyen;oui;
http://www.lemonde.fr/societe/article/2017/03/21/vincent-guillot-il-faut-cesser-les-mutilations-des-enfants-intersexes-en-france_5098554_3224.html;07.05.2017;post blog;experts;militant;reconnaissance du sexe neutre;grand;oui;
https://fr-fr.facebook.com/ciaintersex/;05.05.2017;forum facebook;communauté concernée;solidarité;soutien aux gens concernés;grand;oui;
http://www.lci.fr/societe/sexe-neutre-etat-civil-justice-la-souffrance-de-ces-enfants-sains-operes-pour-rester-dans-un-cadre-binaire-genre-2050798.html?utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook#link_time=1493834449;05.05.2017;post blog;communauté concernée;révélation;soutien aux gens concernés;moyen;oui;
https://fr-fr.facebook.com/brutofficiel/videos/1846149308968041/;07.05.2017;forum facebook;communauté concernée;révélation;reconnaissance du sexe neutre;petit;oui;
https://fr-fr.facebook.com/lemonde.fr/posts/10155347206517590;07.05.2017;actualités;communauté concernée;militant;reconnaissance du sexe neutre;petit;oui;
https://www.facebook.com/owaic/;04.05.2017;forum facebook;communauté concernée;solidarité;soutien aux gens concernés;grand;oui;
https://twitter.com/search?q=%23intersexe&lang=fr;07.05.2017;tweeter;internet;solidarité;soutien aux gens concernés;grand;moyen;
http://next.liberation.fr/sexe/2017/03/21/ignorer-les-intersexes-c-est-une-mutilation-juridique_1557249;07.05.2017;actualités;journaliste;militant;reconnaissance du sexe neutre;moyen;oui;
http://www.lemonde.fr/societe/article/2017/03/21/la-condition-des-personnes-intersexes-a-l-etranger_5098594_3224.html;07.05.2017;actualités;journaliste;vulgarisation;rien;moyen;oui;
http://www.lepoint.fr/societe/apres-les-mutilations-la-vie-detruite-de-vincent-guillot-ne-intersexe-25-03-2017-2114727_23.php;07.05.2017;témoignage;communauté concernée;révélation;soutien aux gens concernés;moyen;oui;
https://fr.wikipedia.org/wiki/Intersexuation;04.05.2017;wikipédia;internet;vulgarisation;rien;grand;oui;
http://asso.orfeo.free.fr/intersexuation/index.html;04.05.2017;post blog;internet;vulgarisation;rien;moyen;oui;
https://fr.wikipedia.org/wiki/Classification_de_Prader;04.05.2017;wikipédia;internet;vulgarisation;rien;grand;oui;
https://fr.wikipedia.org/wiki/Organisation_internationale_des_intersexu%C3%A9s;04.05.2017;wikipédia;internet;vulgarisation;rien;grand;oui;
http://www.lemonde.fr/jeux-olympiques-rio-2016/article/2016/08/19/mauvais-genre_4984775_4910444.html;07.05.2017;actualités;journaliste;révélation;rien;moyen;moyen;
https://en.wikipedia.org/wiki/Intersex_people_and_religion;20.05.2017;wikipédia;internet;vulgarisation;rien;moyen;moyen;
https://oiiinternational.com/2562/intersex-religion-fourteen-days-intersex/;20.05.2017;post blog;communauté concernée;militant;soutien aux gens concernés;petit;moyen;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;